title,author,cover,pages,publisher,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
The Call of the Wild,"Jack London, Avi (Introduction)",Paperback,172,Scholastic,2001,3.8699999999999997,327078,101234,118903,78642,20407,7892,0
How the Grinch Stole Christmas!,Dr. Seuss,Hardcover,64,Harper Collins Children,2004,4.37,318139,189249,75493,38820,9435,5142,1
"Oh, the Places You'll Go!",Dr. Seuss,Hardcover,44,Random House Books for Young Readers,1990,4.359999999999999,316082,186924,74922,39416,9923,4897,1
The Witches,"Roald Dahl, Quentin Blake (Illustrator)",Paperback,208,Scholastic,1997,4.18,297853,136064,98732,48659,9769,4629,1
Goodnight Moon,"Margaret Wise Brown, Clement Hurd (Illustrator)",Hardcover,NA,HarperCollins,2007,4.28,294156,166568,67665,41908,11803,6212,1
The Lorax,Dr. Seuss,Hardcover,72,Random House Books for Young Readers,1998,4.35,272352,159365,66070,34180,8467,4270,1
Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard (Illustrator)",Hardcover,NA,Dutton Juvenile,2001,4.35,258547,145701,70739,32305,6344,3458,1
If You Give a Mouse a Cookie,"Laura Joffe Numeroff (Author), Felicia Bond (Illustrator)",Hardcover,40,HarperCollins,2015,4.26,243524,132442,59680,37583,9484,4335,1
Alice's Adventures in Wonderland,"Lewis Carroll, Andrea D'Aquino (Author) (Illustrator)",Hardcover,248,Rockport Publishers,2015,4.02,223643,91091,70108,44255,12700,5489,1
The Polar Express,"Chris Van Allsburg, Liam Neeson (Narrator)",Hardcover,32,Houghton Mifflin,2000,4.3,207394,117398,50553,28101,7649,3693,1
Are You My Mother?,P.D. Eastman,Paperback,64,Random House,1962,4.1899999999999995,206915,105868,52040,35192,9175,4640,1
Batman: Year One,"Frank Miller (Writer), David Mazzucchelli (Illustrator), Richmond Lewis (Colorist), Todd Klein (Letterer), Dennis O'Neil (Introduction)",Paperback,NA,DC Comics,2007,4.22,200594,100107,62036,26205,6589,5657,1
The Tale of Peter Rabbit,Beatrix Potter,Hardcover,72,Warne,2002,4.18,199236,96446,56760,35246,7552,3232,1
Love You Forever,"Robert Munsch, Sheila McGraw (Illustrator)",Paperback,32,Firefly,1995,4.359999999999999,195857,126665,34677,19839,7452,7224,1
Madeline,Ludwig Bemelmans,Paperback,44,London,1989,4.23,188999,97480,50982,30644,6821,3072,1
Corduroy,Don Freeman,Hardcover,32,Viking Books for Young Readers,1968,4.3,187775,103394,47911,27924,6054,2492,1
The Wind in the Willows,"Kenneth Grahame, Michael Hague (Illustrator)",Hardcover,224,Henry Holt and Co,2003,3.9899999999999998,171955,63980,58105,37461,8906,3503,0
The Wind in the Willows,"Kenneth Grahame, Gillian Avery (Introduction)",Paperback,NA,Penguin,2005,3.9899999999999998,171773,63902,58038,37437,8896,3500,0
Smile,Raina Telgemeier (Author),Kindle Edition,224,Graphix,2014,4.25,168511,91041,43336,23206,6497,4431,1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz (Illustrator)",Paperback,32,Atheneum Books for Young Readers,1987,4.23,167901,86342,45584,26573,6337,3065,1
The True Story of the 3 Little Pigs,"Jon Scieszka, Lane Smith",Paperback,32,Puffin,1996,4.3,163582,88297,45215,23448,4812,1810,1
Pippi Longstocking,"Astrid Lindgren, Florence Lamborn (Translator), Louis S. Glanzman (Illustrator)",Paperback,NA,Puffin,2005,4.13,161664,71664,50714,30431,6575,2280,1
The Hobbit: An Illustrated Edition of the Fantasy Classic (Graphic Novel),"Chuck Dixon (Author), J.R.R. Tolkien (Creator), David Wenzel, Sean Deming",Hardcover,144,Turtleback,2001,4.48,160333,99337,43127,14588,2245,1036,1
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss (Reader),Hardcover,64,Harper Collins Children,2003,4.14,157713,77391,39741,29263,7818,3500,1
Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson (Illustrator), Lynn Varley (Illustrator)",Hardcover,197,DC Comics,2012,4.26,157698,82080,46483,20095,5530,3510,1
The Invention of Hugo Cabret,Brian Selznick,Hardcover,533,Scholastic,2007,4.24,156428,74931,51998,22857,4795,1847,1
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle (Illustrator)",Board Book,NA,Henry Holt and Co,1996,4.21,146329,76955,35429,24480,6774,2691,1
Chicka Chicka Boom Boom,"Bill Martin Jr., John Archambault, Lois Ehlert (Illustrator)",Paperback,40,Beach Lane,2000,4.23,142246,78403,31511,22036,7022,3274,1
Calvin and Hobbes,"Bill Watterson, G.B. Trudeau (Foreword)",Paperback,128,Andrews McMeel Publishing,1987,4.6,138363,100616,25370,9018,1906,1453,1
Rodrick Rules,Jeff Kinney (Author),Hardcover,224,Amulet,2008,4.13,131117,62103,36169,23600,6567,2678,1
Cloudy With a Chance of Meatballs,"Judi Barrett, Ron Barrett (Illustrator)",Paperback,32,Atheneum Books for Young Readers,1982,4.159999999999999,127560,61344,35583,22884,5538,2211,1
Fun Home: uma tragicomédia em família,Alison Bechdel,Paperback,240,Todavia,2018,4.09,124018,52612,42617,19311,5857,3621,1
Harold and the Purple Crayon,Crockett Johnson,Hardcover,64,Bloomsbury,1996,4.25,123118,65979,31350,18941,4699,2149,1
Guess How Much I Love You,"Sam McBratney, Anita Jeram",Board Book,20,Candlewick,2005,4.37,122636,72947,28864,15476,3659,1690,1
The Monster at the End of this Book,"Jon Stone, Michael J. Smollin (Illustrator)",Hardcover,32,Golden,2004,4.45,118599,77717,23775,11750,2965,2392,1
The Boxcar Children,"Gertrude Chandler Warner, L. Kate Deal (Illustrator)",Paperback,160,Albert Whitman Company,1989,4.109999999999999,115902,52929,33300,21841,5285,2547,1
The Last Straw,Jeff Kinney (Author),Hardcover,218,Amulet,2009,4.14,115694,55855,30758,20969,5822,2290,1
The Rainbow Fish,Marcus Pfister,Hardcover,24,North,1992,4.17,115470,58978,28157,20077,5725,2533,1
The Complete Fairy Tales,"Hans Christian Andersen, Lily Owens (Editor & Introduction), Arthur Rackham (Illustrator), Hans Richter (Illustrator)",Hardcover,803,Gramercy,1996,4.28,114627,57441,36361,17385,2621,819,1
Dog Days,Jeff Kinney (Author),Paperback,218,Amulet,2009,4.159999999999999,111557,55087,29646,19170,5384,2270,1
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,Paperback,256,Andrews McMeel Publishing,1988,4.64,110445,82517,19550,6236,1163,979,1
Stellaluna,Janell Cannon,Hardcover,46,Harcourt Brace Jovanovich,1993,4.24,105518,55073,28357,16441,3956,1691,1
"Dr. Seuss's Green Eggs and Ham: For Soprano, Boy Soprano, and Orchestra","Robert Kapilow (Arrangement), Dr. Seuss",Paperback,92,G Schirmer,1998,4.44,104698,66417,22841,12061,2340,1039,1
Understanding Comics: The Invisible Art,Scott McCloud (Author),Paperback,215,William Morrow Paperbacks,1993,3.9699999999999998,102835,46239,27120,16487,6419,6570,0
The Snowy Day,Ezra Jack Keats,Paperback,40,Puffin,1976,4.159999999999999,100605,49623,26491,17421,4861,2209,1
The Little Engine That Could,"Watty Piper, Doris Hauman (Illustrator), George Hauman (Illustrator)",Hardcover,NA,Platt,2006,4.159999999999999,99408,49778,24927,17886,4826,1991,1
Miss Nelson Is Missing!,"Harry Allard, James Marshall (Illustrator)",Paperback,32,Sandpiper,1985,4.29,98681,53838,25425,14857,3247,1314,1
The Ugly Truth,Jeff Kinney (Author),Hardcover,NA,Amulet,2010,4.18,98081,49605,25494,16413,4594,1975,1
Nimona,Noelle Stevenson,Kindle Edition,NA,Harper Collins,2015,4.17,96301,46178,30855,11983,3714,3571,1
Horton Hears a Who!,Dr. Seuss,Paperback,64,Random House Books for Young Readers,1990,4.18,94244,45215,27177,16953,3607,1292,1
Cabin Fever,Jeff Kinney (Author),Hardcover,NA,Amulet,2011,4.24,91609,48830,23190,13813,3912,1864,1
The Stinky Cheese Man and Other Fairly Stupid Tales,"Jon Scieszka, Lane Smith (Illustrator)",Hardcover,52,Viking Books for Young Readers,1992,4.2,89787,44686,25325,14573,3604,1599,1
"One Piece, Volume 1: Romance Dawn","Eiichiro Oda, Andy Nakatani (Translator)",Paperback,NA,VIZ Media,2003,4.44,87485,57734,16761,8512,2449,2029,1
"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,Paperback,48,HarperCollins,2015,4.1499999999999995,84768,40363,23030,16116,4001,1258,1
The Story of Ferdinand,"Munro Leaf, Robert Lawson (Illustrator)",Hardcover,72,Viking,1936,4.359999999999999,84158,48636,21563,10722,2158,1079,1
Drama,"Raina Telgemeier (Author), Gurihiru (Colorist)",Paperback,238,Graphix,2012,4.2,83873,42482,23025,12923,3520,1923,1
The Mitten,Jan Brett,Hardcover,32,GP Putnam,1989,4.26,83235,43443,22678,13201,2876,1037,1
Strega Nona,"Tomie dePaola (Author, Illustrator)",Hardcover,44,Everest Publishing,1996,4.24,82738,42966,22700,12866,2722,1484,1
Make Way for Ducklings,Robert McCloskey,Hardcover,64,Viking,2001,4.22,82443,42928,21704,12958,3134,1719,1
Amelia Bedelia,"Peggy Parish, Fritz Siebel (Illustrations)",Paperback,64,Greenwillow,2012,4.17,82084,40269,21744,15074,3453,1544,1
The Jungle Books,"Rudyard Kipling, Alev Lytle Croutier (Afterword)",Paperback,368,Signet Classics,2005,4.02,81969,29829,29118,18620,3565,837,1
Frog and Toad Are Friends,Arnold Lobel,Paperback,64,HarperCollins,2003,4.2,81613,41001,21835,14338,3229,1210,1
The Gift of the Magi,"O. Henry, P.J. Lynch (Illustrator)",Hardcover,40,Candlewick,2008,4.09,81038,32782,28087,15892,3262,1015,1
"Click, Clack, Moo: Cows That Type","Doreen Cronin, Betsy Lewin (Illustrator)",Hardcover,32,Simon,2000,4.25,79258,41721,21041,12281,3017,1198,1
Ghosts,Raina Telgemeier (Author),Kindle Edition,256,Graphix,2016,4.23,77666,40409,21526,10892,2916,1923,1
"Go, Dog. Go!",P.D. Eastman,Hardcover,NA,Random House,1961,4.1,76360,36586,18401,15425,4397,1551,1
Don't Let the Pigeon Drive the Bus!,Mo Willems,Hardcover,40,Walker,2004,4.3,76100,43548,18173,9803,3036,1540,1
"Bone, Vol, 1: Out from Boneville","Jeff Smith, Steve Hamaker (Colorist )",Paperback,NA,Graphix,2005,4.17,74590,37441,19806,12020,3381,1942,1
A Bear Called Paddington,"Michael Bond, Peggy Fortnum (Illustrator)",Paperback,159,HarperCollinsChildren,2018,4.23,73356,35505,22503,12542,2121,685,1
The Poky Little Puppy,"Janette Sebring Lowrey, Gustaf Tenggren (Illustrator)",Hardcover,24,Golden,2001,4.109999999999999,73318,35123,17899,14711,4072,1513,1
Clifford the Big Red Dog,Norman Bridwell (Illustrations),Paperback,32,Scholastic,1995,4.13,72720,35668,17202,14704,3713,1433,1
The Third Wheel,Jeff Kinney (Author),Hardcover,224,Amulet,2012,4.22,69289,36627,17222,10848,3078,1514,1
American Born Chinese,Gene Luen Yang (Author),Paperback,240,First Second,2006,3.88,69239,21362,26072,15820,4157,1828,0
A Bad Case of Stripes,David Shannon,Paperback,32,Scholastic Paperbacks,2004,4.25,68111,36819,16879,10439,2737,1237,1
Blueberries for Sal,Robert McCloskey,Hardcover,56,Viking Books for Young Readers,1948,4.2,67043,33623,18121,11550,2697,1052,1
Pinocchio,"Carlo Collodi, Robert Ingpen (Illustrator)",Hardcover,NA,Purple Bear,2005,3.86,66334,22111,20617,17389,4760,1457,0
The Runaway Bunny,"Margaret Wise Brown, Clement Hurd (Illustrator)",Hardcover,48,HarperCollins,2017,4.109999999999999,64484,31116,16633,11333,3473,1929,1
The Complete Tales,Beatrix Potter,Hardcover,400,Warne,2006,4.37,63207,36200,16669,8296,1458,584,1
Anya's Ghost,Vera Brosgol (Author),Hardcover,224,First Second,2011,3.8899999999999997,63025,20026,23046,14648,3406,1899,0
The Sneetches and Other Stories,Dr. Seuss,Paperback,65,HarperCollins Publishers,2003,4.31,62156,34291,16439,8824,1791,811,1
Tikki Tikki Tembo,"Arlene Mosel, Blair Lent (Illustrator)",Paperback,48,Square Fish,2007,4.21,61586,31206,16557,10339,2288,1196,1
Starcrossed,Josephine Angelini (Author),Hardcover,487,HarperTeen,2011,4.06,61586,26798,19226,10237,3404,1921,1
The Stonekeeper,Kazu Kibuishi (Author),Hardcover,192,Graphix,2008,4.159999999999999,60276,28184,18372,10279,2349,1092,1
The Kissing Hand,"Audrey Penn (Author), Ruth E. Harper (Author) (Illustrator), Nancy M. Leak (Illustrator)",Hardcover,32,Tanglewood,1993,4.430000000000001,60111,37441,13749,6840,1497,584,1
Ramona the Pest,Beverly Cleary,Paperback,192,Oxford University,2000,4.06,60074,23972,20047,12875,2311,869,1
Hard Luck,Jeff Kinney (Author),Hardcover,217,Amulet,2013,4.29,59110,33006,14571,8162,2146,1225,1
Olivia,Ian Falconer,Hardcover,40,Atheneum Books for Young Readers,2000,4.14,58456,28141,15848,10290,2713,1464,1
Sisters,Raina Telgemeier (Author),Paperback,199,Scholastic,2014,4.33,57963,31599,16715,7499,1469,681,1
The Sandman: Overture,"Neil Gaiman (Author) (Writer), J.H. Williams III (Artist), Dave Stewart (Colourist), Todd Klein (Letterer)",Hardcover,NA,DC Vertigo,2015,3.9899999999999998,57874,27670,13815,8605,3473,4311,0
If You Give a Pig a Pancake,"Laura Joffe Numeroff (Author), Felicia Bond",Hardcover,32,HarperCollins,1998,4.25,57716,29977,15253,9900,2023,563,1
If You Give a Moose a Muffin,"Laura Joffe Numeroff (Author), Felicia Bond (Illustrator)",Hardcover,32,HarperCollins,1991,4.1899999999999995,56634,27982,15214,10289,2371,778,1
Beware the Kitten Holy,"Noelle Stevenson, Grace Ellis, Faith Hicks, Brooke A. Allen (Illustrator), Shannon Watters, Kat Leyh, Carolyn Nowak (Illustrator), Carey Pietsch (Illustrator)",Paperback,128,BOOM,2015,3.9099999999999997,56551,21083,17896,11469,3601,2502,0
This One Summer,"Mariko Tamaki, Jillian Tamaki",Hardcover,320,First Second,2014,3.68,56273,15346,18277,14904,5069,2677,0
The Story of Babar,"Jean de Brunhoff, Merle S. Haas (Translator)",Hardcover,48,Random House Books for Young Readers,1937,4.08,55408,24610,15561,11524,2671,1042,1
Tales from a Not-So-Fabulous Life,Rachel Renée Russell (Author),Hardcover,282,Aladdin,2009,4.1499999999999995,55379,29379,12229,8474,3124,2173,1
A Pocket for Corduroy,Don Freeman,Hardcover,32,Viking Books for Young Readers,1978,4.31,54096,29703,13861,8548,1518,466,1
Fox in Socks,Dr. Seuss,Paperback,62,Green Back,2003,4.07,53702,24641,13706,11139,3099,1117,1
Little Bear,"Else Holmelund Minarik, Maurice Sendak (Illustrator)",Paperback,64,Scholastic,1999,4.24,53624,27521,14420,9258,1791,634,1
El Deafo,"Cece Bell (Author), David Lasky (Colorist )",Hardcover,233,Harry N Abrams,2014,4.22,52566,25777,16900,6739,1721,1429,1
Wonderstruck,Brian Selznick,Hardcover,640,Scholastic,2011,4.17,50991,23193,17316,7544,1812,1126,1
Chrysanthemum,Kevin Henkes,Paperback,32,Greenwillow,2008,4.33,50541,28389,13136,6903,1526,587,1
Harry the Dirty Dog,"Gene Zion, Margaret Bloy Graham (Illustrator)",Hardcover,32,HarperCollins,2006,4.1899999999999995,50104,23964,14306,9605,1740,489,1
The Railway Children,E. Nesbit,Paperback,188,Dover Publications,2000,4.01,50083,18748,17276,10866,2244,949,1
"Polar Bear, Polar Bear, What Do You Hear?","Bill Martin Jr., Eric Carle (Illustrator)",Hardcover,28,Henry Holt and Co,1997,4.18,49852,24741,12820,9389,2164,738,1
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,Hardcover,56,HMH Books for Young Readers,1939,4.2,49184,24354,13729,8561,1846,694,1
There Was an Old Lady Who Swallowed a Fly,Simms Taback,Hardcover,32,Viking Books for Young Readers,1997,4.22,48196,25685,11242,8280,2152,837,1
You Are Special,Max Lucado (Author),Hardcover,32,Candle,2004,4.470000000000001,48087,31157,10517,4663,1121,629,1
Hop On Pop,Dr. Seuss,Paperback,NA,HarperCollins Publishers,2003,3.98,47185,19167,12592,11711,2872,843,0
Hop on Pop,Dr. Seuss,Hardcover,NA,Random House,1963,3.98,47185,19167,12592,11711,2872,843,0
Mortal Engines,Philip Reeve (Author),Paperback,326,Harper Collins US UK,2004,3.7800000000000002,46961,11522,18383,12943,3314,799,0
The Paper Bag Princess,"Robert Munsch, Michael Martchenko (Illustrator)",Paperback,32,Annick,1980,4.319999999999999,46941,25827,12895,6185,1406,628,1
Mr. Brown Can Moo! Can You?,Dr. Seuss,Paperback,32,Harpercollins Childs,2003,4.119999999999999,46897,21995,12166,9714,2384,638,1
The Arrival,Shaun Tan,Hardcover,132,Lothian,2007,4.33,46085,26070,12462,5105,1513,935,1
"No, David!",David Shannon,Hardcover,32,Blue Sky,1998,4.14,45023,22914,10706,7569,2529,1305,1
Knuffle Bunny: A Cautionary Tale,Mo Willems,Hardcover,40,Walker,2005,4.2700000000000005,44355,24099,11614,6119,1654,869,1
Put Me in the Zoo,Robert Lopshire,Paperback,72,Random House,1988,4.14,44266,21644,11098,8594,2137,793,1
Put Me In the Zoo (Bright & Early Board Books,Robert Lopshire,Board Book,24,Random House Books for Young Readers,2001,4.14,44264,21642,11099,8593,2137,793,1
"Good Night, Gorilla",Peggy Rathmann,Board Book,32,GP Putnam,1996,4.22,44243,22469,11914,7553,1713,594,1
Tales from a Not-So-Popular Party Girl,Rachel Renée Russell (Author),Ebook,288,Aladdin,2010,4.25,44174,25076,9665,6260,1955,1218,1
Just So Stories,Rudyard Kipling,Hardcover,210,Gramercy,2003,4.08,43738,17683,14942,8762,1814,537,1
Walt Disney's Peter Pan (A Little Golden Book),"Eugene Bradley Coco, Ron Dias, J.M. Barrie (Original Story By), Walt Disney Company (Contributor)",Hardcover,NA,Golden,1995,4.34,43483,25486,9604,6499,1314,580,1
The Complete Adventures of Curious George,"Margret Rey, H.A. Rey",Hardcover,NA,HMH,2001,4.24,42966,22387,11286,7105,1543,645,1
The Complete Tales and Poems of Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard (Illustrator)",Hardcover,557,Dutton Books for Young Readers,2001,4.5,42455,27724,9502,4226,693,310,1
The Day the Crayons Quit,"Drew Daywalt, Oliver Jeffers (Author) (Illustrator)",Hardcover,30,Philomel,2013,4.430000000000001,42432,26264,10654,3784,1037,693,1
Sylvester and the Magic Pebble,William Steig,Hardcover,32,Simon,1988,4.1499999999999995,41991,19994,11906,7422,1746,923,1
Amphigorey,Edward Gorey,Paperback,220,TarcherPerigee,1980,4.04,41914,20195,10261,6535,2710,2213,1
Stone Soup,Marcia Brown,Paperback,48,Aladdin Paperbacks,2005,4.24,41732,20604,12295,7370,1159,304,1
Roller Girl,Victoria Jamieson,Paperback,240,Dial,2015,4.31,40906,22257,11940,4632,1267,810,1
Horton Hatches the Egg,Dr. Seuss,Paperback,64,Harpercollins Children,2004,4.17,40661,20380,10348,7245,1768,920,1
Dr. Seuss's ABC: An Amazing Alphabet Book!,Dr. Seuss,Board Book,NA,Random House Books for Young Readers,2014,4.09,40244,18811,10109,8195,2292,837,1
Dr. Seuss's ABC,Dr. Seuss,Board Book,21,Random House,1996,4.09,40244,18811,10109,8195,2292,837,1
We're Going on a Bear Hunt,"Michael Rosen, Helen Oxenbury",Paperback,40,Margaret K McElderry,2003,4.28,40226,21493,10910,5993,1369,461,1
The Story About Ping,"Marjorie Flack, Kurt Wiese (Illustrator)",Paperback,32,Grosset,2000,4.159999999999999,40212,18830,11790,7466,1538,588,1
Owl Moon,"Jane Yolen (Author), John Schoenherr (Illustrator)",Hardcover,32,Philomel,1987,4.22,39724,19987,11272,6293,1449,723,1
Frog and Toad Together,Arnold Lobel,Paperback,64,HarperFestival,1999,4.23,39166,20388,10078,6678,1453,569,1
Rudolph the Red-Nosed Reindeer,"Barbara Shook Hazen (Adaptor), Robert Lewis May, Richard Scarry (Illustrator)",Hardcover,24,Western Publishing,1976,4.31,38956,22480,8454,6227,1289,506,1
East,Edith Pattou (Author),Paperback,507,HMH Books for Young Readers,2005,4.14,38863,17193,12728,6811,1592,539,1
Dreamless,Josephine Angelini (Author),Hardcover,487,HarperTeen,2012,4.1899999999999995,38615,17697,12958,6064,1372,524,1
Llama Llama Red Pajama,Anna Dewdney,Hardcover,40,Viking Books for Young Readers,2005,4.3,38390,21057,10024,5481,1298,530,1
The Little House,Virginia Lee Burton,Hardcover,NA,Houghton Mifflin Company,1942,4.3,37892,20877,9759,5482,1186,588,1
Big Nate: In a Class by Himself,Lincoln Peirce,Hardcover,224,HarperCollins,2010,4.21,37554,20539,8509,5500,1824,1182,1
"Good Night, Mr. Tom",Michelle Magorian,Paperback,320,HarperCollins,1986,4.31,37413,19296,12137,4618,1005,357,1
The Ugly Duckling,"Hans Christian Andersen, Jerry Pinkney (Illustrator)",Hardcover,40,HarperCollins,1999,4.11,37194,17160,10291,7375,1526,842,1
Flora & Ulysses: The Illuminated Adventures,"Kate DiCamillo (Author), K.G. Campbell (Illustrator)",Hardcover,231,Candlewick,2013,3.8899999999999997,37190,12930,12386,8004,2492,1378,0
If You Take a Mouse to School,"Laura Joffe Numeroff (Author), Felicia Bond (Illustrator)",Hardcover,32,HarperCollins,2002,4.28,37118,20112,9158,6235,1242,371,1
The Enchantress Returns,"Chris Colfer, Brandon Dorman (Illustrator)",Hardcover,517,Little Brown Books for Young Readers,2013,4.49,36829,22920,9910,3250,544,205,1
Drawing from Memory,Allen Say,Hardcover,64,Scholastic,2011,3.86,36819,15221,8671,7649,3074,2204,0
The Adventures of Captain Underpants,Dav Pilkey,Paperback,125,Scholastic Children,2000,3.96,36719,16085,8849,7504,2620,1661,0
Rainbow Valley,L.M. Montgomery,Paperback,225,Bantam Starfire,1987,4.02,36700,13509,12790,8362,1719,320,1
Curious George Goes to the Hospital,"Margret Rey, H.A. Rey",Hardcover,48,HMH Books for Young Readers,1973,4.24,36416,19422,8771,6318,1344,561,1
My Family and Other Animals,Gerald Durrell,Paperback,273,Penguin,2004,4.25,36413,17425,12364,5120,1130,374,1
"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear","Don Wood, Audrey Wood (Author)",Board Book,32,Child,1998,4.32,36070,20234,9053,5250,1127,406,1
The Very Busy Spider,Eric Carle,Board Book,26,Philomel,1995,4.21,35684,17510,10086,6560,1124,404,1
"Dragon Ball, Vol. 1: The Monkey King",Akira Toriyama,Paperback,192,VIZ Media,2003,4.44,35042,22685,7152,3671,942,592,1
The Real Mother Goose,Blanche Fisher Wright,Hardcover,128,Cartwheel,1994,4.34,34517,19543,8599,5162,903,310,1
Inside the Human Body,"Joanna Cole, Bruce Degen (Illustrator)",Paperback,40,Scholastic,1990,4.27,34077,18637,8244,5501,1214,481,1
Tales from a Not-So-Talented Pop Star,Rachel Renée Russell (Author),Kindle Edition,320,NA,2011,4.3,34056,19812,7460,4660,1312,812,1
Don't Let the Pigeon Stay Up Late!,Mo Willems,Hardcover,40,Hyperion Books for Children,2006,4.34,33754,19600,8279,4267,1084,524,1
Frog and Toad All Year,Arnold Lobel,Paperback,64,HarperCollins,1984,4.36,33336,19308,8064,4819,857,288,1
Ten Apples Up On Top!,"Theo LeSieg (Pseudonym), Dr. Seuss, Roy McKie (Illustrator)",Paperback,62,HarperCollinsChildren,2003,4.13,33122,15857,8275,6820,1681,489,1
Pete the Cat: I Love My White Shoes,"Eric Litwin, James Dean (Illustrator)",Hardcover,40,HarperCollins,2010,4.34,33078,20083,7280,3639,1130,946,1
